,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,SupplementCount,ToSupport,YearAwarded
871,RE-10044-69,O,7782.0000,250740.0000,7782.0000,250740.0000,1969-09-01T00:00:00,1969-05-15,"{'Name': 'Literature, General'}",1,Research Programs,1970-11-30T00:00:00,{},{},{},{},Unaffiliated Independent Scholar,Unknown,258522.0000,"{'Firstname': 'Matthew', 'Lastname': 'Bruccoli', 'Institution': 'Center for Study of American Biography, Inc.', 'City': 'Columbia', 'State': 'SC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-09-01T00:00:00'}",1,"Literature, General",Editions,"This project aims to produce full, accurate texts of eight American authors: Clemens (Mark Twain), Crane, Emerson, Hawthorne, Howells, Irving, Thoreau, Whitman. Many works are available only in old, incomplete, and inaccurate editions long since out of print, which hampers diffusion of American culture both at home and abroad. Center editions&nbsp;will exclude errors compiled through frequent reprintings but will&nbsp;include changes made by the author himself in later editions. The Center&nbsp;will control disbursement of funds so editors' salaries and collating cost result in finished manuscripts according to schedule, and will insure replacment of editor and continuation of work should the original editor be unable to complete their work. The Center provides a uniform editorial manual, the&nbsp;Guide to Editorial Principles, which serves both as a research tool for the project and as a reference work for other scholars. Paperback editions&nbsp;will be produced from many of the same plates, encouraging dissemination of accurate texts to students and the&nbsp;public at low cost. This will provide accurate texts for scholars, teachers, students, and the&nbsp;reading public.",Center for Editions of American Authors,0,{},1969
872,RE-10100-68,O,0.0000,25000.0000,0.0000,25000.0000,1968-03-01T00:00:00,1968-02-12,{'Name': 'Law and Jurisprudence'},1,Research Programs,1970-09-30T00:00:00,{},{},{},{},Unaffiliated Independent Scholar,Unknown,25000.0000,"{'Firstname': 'Melvin', 'Lastname': 'Urofsky', 'Institution': 'Unaffiliated Independent Scholar', 'City': {}, 'State': {}, 'Country': {}, 'ParticipantTypeID': 'Project Director', 'ValidFr': '1968-03-01T00:00:00'}",1,Law and Jurisprudence,Editions,{},The Brandeis Project,0,{},1968
873,RO-10004-66,O,0.0000,10000.0000,0.0000,10000.0000,1967-07-01T00:00:00,1966-06-23,{'Name': 'East Asian History'},1,Research Programs,1968-06-30T00:00:00,New York,USA,10027,NY,Columbia University,University,10000.0000,"{'Firstname': 'William', 'Lastname': 'De Bary', 'Institution': 'Columbia University', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-07-01T00:00:00'}",1,East Asian History,Basic Research,{},Ming Biographical History Project,0,{},1966
874,RO-10006-67,O,0.0000,24600.0000,0.0000,24600.0000,1967-06-01T00:00:00,1967-05-22,"{'Name': 'History, General'}",1,Research Programs,1969-06-30T00:00:00,Northampton,USA,01063-0001,MA,Smith College,Four-Year College,24600.0000,"{'Firstname': 'Stanley', 'Lastname': 'Elkins', 'Institution': 'Smith College', 'City': 'Northampton', 'State': 'MA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-06-01T00:00:00'}",1,"History, General",Basic Research,{},The Age of Washington and Jefferson,0,{},1967
875,RO-10008-67,O,0.0000,500.0000,0.0000,500.0000,1967-02-01T00:00:00,1967-05-22,"{'Name': 'History, General'}",1,Research Programs,1968-02-29T00:00:00,Potsdam,USA,13676-1402,NY,Clarkson University,University,500.0000,"{'Firstname': 'William', 'Lastname': 'Armstrong', 'Institution': 'Clarkson University', 'City': 'Potsdam', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-02-01T00:00:00'}",1,"History, General",Basic Research,{},Writings of Edwin L. Godkin: A Checklist,0,{},1967
876,RO-10010-67,O,0.0000,8978.0000,0.0000,8978.0000,1967-09-01T00:00:00,1967-05-22,{'Name': 'U.S. History'},1,Research Programs,1969-08-31T00:00:00,Madison,USA,53706-1314,WI,"University of Wisconsin, Madison",University,8978.0000,"{'Firstname': 'Joseph', 'Lastname': 'Hollingsworth', 'Institution': 'University of Wisconsin, Madison', 'City': 'Madison', 'State': 'WI', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-09-01T00:00:00'}",1,U.S. History,Basic Research,{},"The Political Process in American Communities, 1870-1900",0,{},1967
877,RO-10012-67,O,0.0000,27760.0000,0.0000,27760.0000,1967-06-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Research Programs,1968-05-31T00:00:00,Madison,USA,53706-1314,WI,"University of Wisconsin, Madison",University,27760.0000,"{'Firstname': 'Lloyd', 'Lastname': 'Kasten', 'Institution': 'University of Wisconsin, Madison', 'City': 'Madison', 'State': 'WI', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-06-01T00:00:00'}",1,"Interdisciplinary Studies, General",Basic Research,{},Studies in Medieval Spanish Language and Literature,0,{},1967
878,RO-10016-67,O,0.0000,31070.0000,0.0000,31070.0000,1967-02-01T00:00:00,1967-05-22,{'Name': 'Music History and Criticism'},1,Research Programs,1968-02-29T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,31070.0000,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-02-01T00:00:00'}",1,Music History and Criticism,Basic Research,{},International Repertory of Music Literature Project,0,{},1967
879,RO-10018-67,O,0.0000,15600.0000,0.0000,15600.0000,1967-07-01T00:00:00,1967-05-22,{'Name': 'Art History and Criticism'},1,Research Programs,1968-12-31T00:00:00,Newark,USA,19716-0099,DE,University of Delaware,University,15600.0000,"{'Firstname': 'Maurice', 'Lastname': 'Cope', 'Institution': 'University of Delaware', 'City': 'Newark', 'State': 'DE', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-07-01T00:00:00'}",1,Art History and Criticism,Basic Research,{},The Iconography of Tintoretto's Paintings for the Upper Hall of the Scuola di San Rocco in Venice,0,{},1967
880,RO-10020-67,O,0.0000,20000.0000,0.0000,20000.0000,1967-06-01T00:00:00,1967-05-22,{'Name': 'Art History and Criticism'},1,Research Programs,1968-08-31T00:00:00,Washington,USA,20052-0001,DC,George Washington University,University,20000.0000,"{'Firstname': 'Philip', 'Lastname': 'Highfill', 'Institution': 'George Washington University', 'City': 'Washington', 'State': 'DC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-06-01T00:00:00'}",1,Art History and Criticism,Basic Research,{},A Biographical Dictionary and Census of Theatrical Performers on the Stages of London and Suburbs from 1660 through 1801,0,{},1967
