,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,Supplement,SupplementAmount,SupplementCount,ToSupport,Unnamed: 0,YearAwarded
20940,FS-*0114-81,O,0.0,70000.0,0.0,57236.47,1981-01-01T00:00:00,1980-11-01,"{'Name': 'Political Science, General'}",1,Education Programs,1981-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,57236.47,"{'Firstname': 'Melvin', 'Lastname': 'Richter', 'Institution': 'CUNY Research Foundation, Hunter College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1980-07-01T00:00:00'}",1,"Political Science, General",Seminars for College Teachers,{},Concepts of Total Domination in Political Thought,,,0,{},4825,1981
21058,FS-20548-82,O,0.0,54347.0,0.0,54189.49,1982-01-01T00:00:00,1981-11-01,{'Name': 'U.S. History'},1,Education Programs,1982-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,54189.49,"{'Firstname': 'Eric', 'Lastname': 'Foner', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1981-07-21T00:00:00'}",1,U.S. History,Seminars for College Teachers,{},The Radical Tradition in America,,,0,{},4943,1982
21231,FS-21208-84,O,0.0,73746.0,0.0,73746.0,1984-10-01T00:00:00,1984-08-01,{'Name': 'Comparative Literature'},1,Education Programs,1985-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,73746.0,"{'Firstname': 'Mary', 'Lastname': 'Caws', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1984-03-15T00:00:00'}",1,Comparative Literature,Seminars for College Teachers,{},Perception in Literature and Art,,,0,{},5116,1984
21369,FS-21618-87,O,0.0,68043.0,0.0,68043.0,1986-10-01T00:00:00,1986-08-01,{'Name': 'Classical Languages'},1,Education Programs,1987-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,68043.0,"{'Firstname': 'Sarah', 'Lastname': 'Pomeroy', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1987-08-12T00:00:00'}",1,Classical Languages,Seminars for College Teachers,{},The Family in Classical and Hellenistic Greece,,,0,{},5254,1987
23409,FV-20503-85,O,0.0,70997.0,0.0,69467.99,1985-10-01T00:00:00,1985-08-01,"{'Name': 'Political Science, General'}",1,Education Programs,1986-10-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,69467.99,"{'Firstname': 'Irving', 'Lastname': 'Markovitz', 'Institution': 'CUNY Research Foundation, Queens College', 'City': 'Flushing', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1985-04-11T00:00:00'}",1,"Political Science, General",Seminars for School Teachers,{},"Great Issues of African Politics, Philosophy and Literature",,,0,{},7294,1985
24290,GD-*2048-81,O,0.0,400000.0,0.0,400000.0,1981-08-01T00:00:00,1981-08-01,"[{'Name': 'Social Sciences, General'}, {'Name': 'U.S. History'}]",2,Public Programs,1984-08-21T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,400000.0,"{'Firstname': 'Herbert', 'Lastname': 'Gutman', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1981-02-09T00:00:00'}",1,U.S. History,Public Programs Special Projects (GD),{},Working Men and Women in American History: A Curriculum For Out-of-School Working Adults,,,0,"To support the development of a social history curriculum for adult workers in labor unions that is adaptable to other audiences. The curriculum will draw upon recent historical scholarship in many areas, including minority, ethnic, family and women's history, and will include print and A-V components.",8175,1981
26904,RC-20634-83,O,0.0,44601.0,0.0,44601.0,1983-04-01T00:00:00,1983-11-01,{'Name': 'Music History and Criticism'},1,Preservation and Access,1983-11-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,44601.0,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1983-10-26T00:00:00'}",1,Music History and Criticism,Reference Materials - Access,{},RILM Abstracts of Music Literature: Five-year Cumulative Index - Supplementary Funding [RILM],,,0,"To provide supplementary support for the completion of the second five-year cumulative index to RILM, an international bibliography of music history and criticism.",10789,1983
26942,RC-20775-84,O,0.0,67695.0,0.0,67695.0,1984-06-01T00:00:00,1984-02-01,{'Name': 'Music History and Criticism'},1,Preservation and Access,1986-07-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,67695.0,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1983-06-11T00:00:00'}",1,Music History and Criticism,Reference Materials - Access,{},A Catalogue of Musical Iconography in Six Major American Museums,,,0,To support cataloging and creation of an iconographic index to works of art held in six major American museums depicting musical subject matter.,10827,1984
27850,RO-20585-84,O,0.0,52000.0,0.0,52000.0,1984-02-01T00:00:00,1983-11-01,"{'Name': 'History, General'}",1,Research Programs,1985-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,52000.0,"{'Firstname': 'Edward', 'Lastname': 'Rosen', 'Institution': 'Unaffiliated Independent Scholar', 'City': {}, 'State': {}, 'Country': {}, 'ParticipantTypeID': 'Project Director', 'ValidFr': '1983-01-06T00:00:00'}",1,"History, General",Basic Research,{},A Biography of Nicholas Copernicus,,,0,To support the preparation of a biography of Nicholas Copernicus by two his- torians of science.,11735,1984
29402,RY-20615-84,I,0.0,500.0,0.0,500.0,1984-11-01T00:00:00,1984-05-01,"[{'Name': 'Interdisciplinary Studies, General'}, {'Name': 'International Studies'}]",2,Research Programs,1984-11-30T00:00:00,New York,USA,10036,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,500.0,"{'Firstname': 'Henry', 'Lastname': 'Wasser', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1984-01-20T00:00:00'}",1,"Interdisciplinary Studies, General","Travel to Collections,  11/83 - 5/85",{},The Changing Role of Humanities in Swedish Higher Education Since 1968,,,0,To support research on the changing role of the humanities in Swedish higher education.,13287,1984
